stop_id,near_campus,dist_to_campus_m
37,True,39.3
1585,True,867.4
361,True,1.5
591,False,3585.6
1494,True,394.5
1600,False,4508.8
992,False,4907.7
343,False,2884.1
295,False,2817.3
262,False,4384.2
387,False,4088.7
42,True,0.0
176,False,3586.5
855,False,2216.8
1407,False,4841.7
974,True,1598.6
1083,False,4648.8
528,False,3900.0
1101,False,4884.9
783,False,2174.8
481,True,3.1
1139,True,555.3
985,False,3191.4
301,False,2176.2
763,False,1950.5
1103,False,4757.9
236,False,4406.2
1402,False,6098.4
140,True,1161.0
726,False,2906.6
662,True,0.0
1068,False,4709.8
226,False,2897.3
1066,False,4300.6
618,True,1291.0
912,False,2316.4
1610,False,11482.6
337,False,4335.8
1235,True,933.2
727,False,3102.4
1398,False,4852.5
454,True,702.4
988,False,4187.4
386,False,4067.2
760,False,2027.3
1117,False,5783.0
1252,False,2832.0
341,False,3346.1
877,False,1683.7
1581,True,0.0
742,False,2876.7
784,False,2123.7
757,True,1550.6
1468,False,1960.2
20,True,7.6
609,True,1452.7
990,False,4720.5
968,True,1035.9
97,False,2441.7
38,True,40.7
858,True,0.0
313,False,4369.9
350,False,2345.6
1015,False,4087.4
954,True,460.0
216,True,1171.2
972,False,1634.6
237,False,4233.5
64,False,2377.5
206,True,1014.0
953,True,473.6
243,False,2830.2
1082,False,4640.5
1330,False,1885.7
706,False,2017.5
635,True,1502.4
179,False,2860.4
152,True,22.8
349,False,2142.2
245,False,2303.9
455,True,580.9
115,False,2680.4
710,True,1545.7
1593,False,4495.8
998,False,7016.1
1495,True,411.2
508,False,2995.4
133,False,2388.5
1303,True,1483.0
1453,False,1818.7
578,True,1478.6
569,True,1292.6
338,False,4099.8
949,True,716.5
1057,False,3267.4
312,False,4127.6
835,True,890.7
1017,False,3336.0
142,True,990.1
239,False,3940.9
703,False,1979.2
545,False,1619.6
1042,False,5736.6
1041,False,5570.0
384,False,4060.1
844,True,0.0
1551,False,4518.1
177,False,3169.4
496,False,1643.7
309,False,3240.2
1304,True,1355.0
260,False,4070.6
730,False,3047.0
225,False,2842.4
241,False,3260.0
984,False,2946.7
561,False,1720.9
385,False,4059.8
533,False,2885.5
1391,False,4477.0
345,False,2117.4
728,False,3293.9
194,True,1.1
755,True,932.5
1380,False,3485.2
413,False,5806.7
619,True,1236.5
307,False,2907.1
950,True,714.0
785,False,2100.0
247,False,2058.4
683,True,1142.7
453,True,705.7
1126,False,2827.9
697,True,1375.8
1,True,1401.7
399,False,5506.9
143,True,860.6
868,True,759.9
920,True,1526.4
768,True,1466.0
739,False,3642.3
1459,True,834.4
314,False,4432.9
713,True,927.0
404,False,6180.9
336,False,4424.9
261,False,4180.7
187,True,1185.9
553,True,1516.5
1062,False,3269.0
766,True,1553.8
1377,False,4063.8
543,False,1622.3
168,False,2791.0
1500,True,1577.5
586,False,2312.1
