stop_id,stop_name,nearest_fountain_m,walk_min,no_water_within_5min
845,Lakeside,494,6.2,True
822,Palm Garden of Gainesville,810,10.1,True
90,Lincoln Estate Neighborhood,1468,18.4,True
1276,Paddock Club Apartments,2310,28.9,True
737,Wawa @ NW 13th St,889,11.1,True
686,CDS Family and Behavioral Services,720,9.0,True
190,The Wynwood Apartments,1025,12.8,True
60,SE 4th Street @ SE 10th Avenue,342,4.3,False
586,Pine Meadows Apartments,215,2.7,False
965,Gator Corner Dining,362,4.5,False
749,Village Green Apartments,385,4.8,False
635,BLVD Gainesville,862,10.8,True
358,The Cotton Club,667,8.3,True
331,Eastside Food Store,1418,17.7,True
500,NW 27th Terrace @ NW 16th Avenue,923,11.5,True
1240,Northbound NE 25th Street @ NE 3rd Place,579,7.2,True
597,Sunrise Store @ SE 43rd Street,1446,18.1,True
696,University Police Department,164,2.1,False
689,Boardwalk Apartments,959,12.0,True
1184,Weed Science Building,439,5.5,True
314,Faith Missionary Church,1941,24.3,True
761,Sandwich Inn @ NE 16th Ave,181,2.3,False
149,West Univ Avenue @ NW 17th Street,122,1.5,False
832,Liv Apartments,195,2.4,False
1632,Inner Road Eastbound,163,2.0,False
451,Lexington Crossing Apartments,1907,23.8,True
1039,Kanapaha Station Plaza,1746,21.8,True
319,Northbound SE 35th Street @ SE 16th Avenue,1620,20.2,True
172,Oaks Mall SW 62nd Blvd,303,3.8,False
372,Lux 13 Apartments,840,10.5,True
735,Rena's Ballroom,1376,17.2,True
488,Countryside at the University Apartments,2282,28.5,True
642,University Terrace Condominiums,1141,14.3,True
1300,Gainesville Jrs. Volleyball Club,806,10.1,True
421,Walnut Creek Neighborhood,1808,22.6,True
524,Quail Ridge Neighborhood,2090,26.1,True
164,Millennium Center,1296,16.2,True
1618,Queen of Peace Church,1664,20.8,True
1122,Westgate Manor Park,1881,23.5,True
1017,Radiant Credit Union,2313,28.9,True
1040,Town & Country Veterinarians,1795,22.4,True
954,Enclave Apartments,1243,15.5,True
200,Anderson Hall,109,1.4,False
43,Center Dr @ Museum Rd,136,1.7,False
313,Lana's Place,1933,24.2,True
869,Fair View Apartments,440,5.5,True
1168,Northwood Oaks Neighborhood,845,10.6,True
1491,Lowe's @ Butler Plaza Eastbound,213,2.7,False
1135,Shands Visitor Parking,251,3.1,False
221,Family Acupuncture Center,971,12.1,True
707,Pine Grove Apartments,432,5.4,True
1497,Alachua School Bus Parking Lot,1123,14.0,True
1121,SunState,1783,22.3,True
1091,Home Depot @ NW 4th Boulevard,720,9.0,True
315,Eastbound SE 21st Avenue @ SE 32nd Terrace,1967,24.6,True
1324,Sorority Row,409,5.1,True
730,Southbound NW 6th Street @ NW 32nd Place,1949,24.4,True
1237,Museum Walk Apartments,620,7.8,True
1000,The Arc,3568,44.6,True
147,Target Copy @ W University Avenue,210,2.6,False
1041,Bank of America @ Tower Square on Archer Road,1915,23.9,True
423,Palmetto Woods Neighborhood,1415,17.7,True
57,Hippodrome Theatre,277,3.5,False
803,UF Counseling and Wellness Center,444,5.6,True
309,Alachua County Sheriff's Office,820,10.2,True
1181,UF Orthopaedics Institute,527,6.6,True
1279,Hidden Oak Elementary School,3144,39.3,True
927,Ben Hill Griffin Stadium North End Zone,370,4.6,False
61,Dignity Project,577,7.2,True
1405,Eastbound SW 24th AVE @ SW 84th ST,1702,21.3,True
64,Sugarhill Neighborhood @ SE 4th Street,182,2.3,False
113,Southbound SE 15th Street @ SE 7th Avenue,1409,17.6,True
10,Norman Hall,377,4.7,False
1044,Kanapaha Middle School,1187,14.8,True
1330,Alachua County Jail (Westbound),733,9.2,True
1009,Faith Presbyterian Church,2140,26.7,True
808,Hilton University of Florida Conference Center,477,6.0,True
1394,Southbound NW 55th ST @ NW 14th AVE,1344,16.8,True
197,Ben Hill Griffin Stadium,317,4.0,False
215,Williams Fellowship Hall,1091,13.6,True
990,Magnolia Park Neighborhood,1548,19.4,True
496,Forest Ridge Neighborhood,825,10.3,True
1254,Gator Corner Dining Facility @ Gale Lemerand,300,3.7,False
308,Eastbound Hawthorne Road @ SE 26th Street,790,9.9,True
746,Eden Park Apartments,873,10.9,True
1018,CVS @ Millhopper,2201,27.5,True
1144,Fraternity Row,976,12.2,True
900,16th Avenue Detailing & Window Tinting,547,6.8,True
544,NW 16th Avenue @ NW 20th Way,690,8.6,True
1622,SW 6th St nearside SW 5th Ave,327,4.1,False
1460,Enclave 3,1315,16.4,True
1474,Renaissance Jewelers,1063,13.3,True
667,Summit House Condominiums,846,10.6,True
12,Norman Field @ SW 8th Avenue,189,2.4,False
608,Northbound NE 25th Street @ NE 6th Avenue,814,10.2,True
949,Lexington Crossing Apartments,1847,23.1,True
877,Quick Mart @ NE 15th Street,751,9.4,True
1111,Kenwood Neighborhood,288,3.6,False
366,University House Apartments,903,11.3,True
617,Westbound NE 8th Avenue @ NE 23nd Street,773,9.7,True
999,Northridge Neighborhood,3781,47.3,True
156,West University Ave @ NW 28th St,1118,14.0,True
815,Daily Mart,183,2.3,False
191,Westgate Plaza,1080,13.5,True
1248,Parkside II Apartments,419,5.2,True
1275,Westbound Newberry Road @ Fort Clarke Boulevard,2135,26.7,True
1083,Cricket Club Apartments,1437,18.0,True
239,Publix @ NW 39th Avenue,1098,13.7,True
420,Vida Springs Church,2141,26.8,True
902,Department of Children and Families,541,6.8,True
258,M&E Auto Specialists,1391,17.4,True
752,NE 15th Street @ NE 26th Avenue,99,1.2,False
917,Westbound SE 4th Avenue @ SE 8th Street,630,7.9,True
339,Northbound SE 27th Street @ SE 15th Avenue,1446,18.1,True
636,Greenwich Green Apartments,960,12.0,True
1379,Westbound NW 39th AVE @ NW 10th ST,1189,14.9,True
324,Eastside High School,1847,23.1,True
38,University Commons,951,11.9,True
336,Faith Missionary Church,1933,24.2,True
1364,Southbound SE 19th TER @ SE 12th AVE,1576,19.7,True
898,Rose Food Store,400,5.0,False
89,Lincoln Estate Neighborhood,1597,20.0,True
680,Bridge House,1320,16.5,True
429,Glen Springs Apartments,1185,14.8,True
1238,Sorority Row,403,5.0,True
726,Bella Vista Village,1932,24.1,True
20,Mt Vernon Apartments,1082,13.5,True
100,GTEC,946,11.8,True
560,Northbound NE 9th Street @ NE 8th Avenue,341,4.3,False
523,Shenandoah Neighborhood,2387,29.8,True
692,Village Square,1291,16.1,True
1006,Robin Lane Neighborhood,3218,40.2,True
643,Ridgemar Apartments,835,10.4,True
399,The Home Depot @ NW 53rd Avenue,456,5.7,True
1469,Eastbound University Avenue @ SW 23rd DR,1214,15.2,True
1026,Holy Faith Catholic Church,1576,19.7,True
132,Westbound SE 22nd Avenue @ SE 12th Street,516,6.4,True
1084,Reflections Apartments,1255,15.7,True
1192,Turlington Hall,61,0.8,False
55,Second Avenue Center Apartments,505,6.3,True
850,GRU Administration Building,324,4.0,False
402,ABC Liquor Store @ NW 34th Street,241,3.0,False
992,Tire Plus @ NW 39th Avenue,1756,22.0,True
4,The Continuum,498,6.2,True
320,Kangaroo @ SE 35th Street,1431,17.9,True
1504,PPG Paints Store,788,9.8,True
1079,Westbound SW 8th Avenue @ SW 70th Terrace,1365,17.1,True
185,SIMED Health,1174,14.7,True
721,NE 39th Ave WB Farside NE 15th St,825,10.3,True
738,Green Oak Villa,1111,13.9,True
1138,Arbor Apartments,2081,26.0,True
1459,Kensington South @ 38th Terrace,915,11.4,True
585,Eastbound SE 25th Terrace @ E University Avenue,389,4.9,False
427,Altrusa House of Gainesville,1377,17.2,True
1312,Depot Ave nearside SW 3rd St,310,3.9,False
1283,Ft Clarke Middle School,3355,41.9,True
966,Weimer Hall,122,1.5,False
755,Highland Court Manor Neighborhood @ NE 23rd Avenue,550,6.9,True
729,Southbound SW 6th Street @ NW 36th Avenue,1744,21.8,True
1630,SW 32nd Rd @ The Vibe (Westbound),440,5.5,True
166,Gainesville Health & Fitness,1646,20.6,True
303,Alachua County School Board Administration Annex,758,9.5,True
335,Westbound SE 21st Avenue @ SE 32nd Terrace,1960,24.5,True
1377,CVS - NW 39th Ave @ NW 13th St,963,12.0,True
159,Fire Station @ W University Ave,984,12.3,True
1612,Town of Tioga,5460,68.3,True
1001,Santa Fe College @ NW 83rd Street,3279,41.0,True
482,University of Florida Energy Research,1464,18.3,True
1447,Gardenia Gardens,34,0.4,False
133,Gainesville Housing Authority,180,2.3,False
1072,Sparrow Apartments,1604,20.0,True
1560,Eastwood Meadows,1754,21.9,True
1392,Northbound NW 55th St @ NW 9th Ln,1027,12.8,True
108,SE 24th Street at Hawthorne Road,759,9.5,True
502,Zion Evangelical Lutheran Church,570,7.1,True
1113,Tower Village,608,7.6,True
1193,Rawlings Hall,147,1.8,False
776,Spring Hill Church,388,4.8,False
223,NW 6th St NW 21st Ln,1135,14.2,True
724,Westbound NE 39th Ave at Main St - Gsville Nissan,1780,22.3,True
623,Westbound NE 13th Street @ NE 8th Avenue,281,3.5,False
510,Suburban Apartments,2370,29.6,True
1381,Publix - NW 39th AVE @ NW 13th ST,963,12.0,True
1626,SW 43rd St @ Cracker Barrel,905,11.3,True
1209,Oxford Terrace Apartments,236,2.9,False
408,Northbound NW 23rd Terrace @ US Hwy 441,962,12.0,True
913,Southbound SE 11th Street @ SE 2nd Avenue,883,11.0,True
768,Friends of the Library Alachua County,599,7.5,True
382,Ridgeview Baptist Church,1308,16.4,True
783,Chevron Gas Station @ Williston Road,335,4.2,False
1601,Markets West (Eastbound),2151,26.9,True
1631,Inner Road Westbound,148,1.9,False
909,Episcopal Children's Services,331,4.1,False
248,Gainesville High School,963,12.0,True
238,CVS @ NW 13th Street,825,10.3,True
1103,Tower Hill,1154,14.4,True
868,Gainesville Christian Center,577,7.2,True
1592,Pizza Hut Archer Rd Eastbound,395,4.9,False
1359,Gainesville Healthcare Center,682,8.5,True
1284,Ft Clarke Middle School,3328,41.6,True
1384,Metrocorp Center,1404,17.5,True
13,Beaty Towers,79,1.0,False
1174,Lacrosse Field,341,4.3,False
739,Eastbound NW 39th Avenue @ NW 10th Street,1246,15.6,True
134,Norwood Neighborhood (North),440,5.5,True
1007,Unicorn Hill Farm,2780,34.7,True
733,Bel Air Apartments,1511,18.9,True
280,American Auto Insurance,1045,13.1,True
563,MLK Center and Citizens Field,290,3.6,False
489,Southbound SW 23rd Street @ Williston Road,2323,29.0,True
682,Budget Inn,1259,15.7,True
1555,Marshall's @ Plaza Blvd,479,6.0,True
469,Commuter Lot Parking Garage @ Gale Lemerand,262,3.3,False
1495,Passage Family Church,404,5.0,True
1499,NE 15th St @ NE 3rd Ave Nearside,595,7.4,True
1126,Haystacks Housing Complex,1461,18.3,True
452,Gainesville Place Apartments @ SW 35th Place,1525,19.1,True
797,Hume Hall,406,5.1,True
323,Chevron Food Mart @ SE 43rd Street,2115,26.4,True
473,Reitz Union,100,1.2,False
28,Bonefish Grill Seafood Restaurant @ Butler Plaza,161,2.0,False
196,Pressly Stadium,875,10.9,True
683,Meridian Behavioral Healthcare (Northbound),1147,14.3,True
1505,Planned Furnishings,697,8.7,True
66,Eastbound SE 22nd Avenue @ SE 12th Street,553,6.9,True
849,Hume Hall (Eastbound),386,4.8,False
1067,Carriage House Lane,1337,16.7,True
664,UF Health Shands North Tower,534,6.7,True
165,Orthopedic Institute,1498,18.7,True
171,Oaks Mall @ NW 62nd Blvd,206,2.6,False
619,Bartley Temple United Methodist Church,316,4.0,False
661,Seacoast Bank @ SW 37th Boulevard,659,8.2,True
742,Bella Vista Village Eastbound,1960,24.5,True
985,Thorn Brook Shops,2194,27.4,True
1455,North Walmart Supercenter,330,4.1,False
786,Sweetwater on 16th Apartments (Northbound),787,9.8,True
1378,Westbound NW 39th AVE @ NW 12th ST,1071,13.4,True
1374,Westbound NW 39th AVE @ NW 19th TER,1026,12.8,True
1078,Gordon Manor Neighborhood,1310,16.4,True
703,US Post Office @ Main St,344,4.3,False
1273,SW 38th Terr nearside SW 20th Ave,919,11.5,True
827,Lakewood Villas Apartments,1390,17.4,True
316,SE 35th St @ SE 21st Avenue,2039,25.5,True
384,Girls Place of Alachua County,1213,15.2,True
44,Frazier Rogers Hall (Eastbound),56,0.7,False
1473,Fire Station,889,11.1,True
837,The Park Apartments,974,12.2,True
753,Smokey Bear Park,95,1.2,False
956,Old Archer Road @ SW 34th Street,686,8.6,True
387,Walnut Creek Neighborhood,1790,22.4,True
433,Brookwood Terrace,411,5.1,True
1373,CVS @ SW 13th St,932,11.7,True
485,Southwood Apartments,2283,28.5,True
243,Verizon Shop,951,11.9,True
1548,Sam's Club,483,6.0,True
1581,Brain Institute Northbound,320,4.0,False
208,Bo Diddley Community Plaza,107,1.3,False
405,Pine Ridge Apartments,586,7.3,True
591,Compassionate Outreach,1463,18.3,True
1439,Cohens Temple,387,4.8,False
432,Cobblestone Apartments,612,7.7,True
1556,The Ridge @ SW 38th TER southbound,718,9.0,True
1062,Linton Oaks Neighborhood @ SW 61st Street,1510,18.9,True
455,Casablanca East Apartments,1817,22.7,True
374,UF Health Homecare,478,6.0,True
962,Keys Residential Complex,738,9.2,True
439,NW 13th St @ Nearside NW 3rd Pl Southbound,485,6.1,True
1277,Legacy @ Fort Clarke Apartments,2630,32.9,True
217,Big Ron's Yoga,1043,13.0,True
107,Health Department,729,9.1,True
825,The Earl Apartments,773,9.7,True
416,Pizza Hut @ NW 34th Street,1398,17.5,True
337,Lana's Place,1927,24.1,True
704,Kangaroo @ N Main St,283,3.5,False
36,Capstone Quarters Apartments,968,12.1,True
161,Plaza Royale,847,10.6,True
1061,Linton Oaks Neighborhood @ SW 63rd Terrace,1247,15.6,True
146,Holiday Inn @ W University Avenue,341,4.3,False
188,Regal Royal Park Stadium 16,805,10.1,True
468,Parking & Transportation Services,349,4.4,False
6,720 SW 2nd Ave,698,8.7,True
127,Lincoln Estates Neighborhood,1349,16.9,True
925,The HUB,34,0.4,False
142,Seagle Building,577,7.2,True
220,Medical Marijuana Treatment Center,895,11.2,True
587,Fred Cone Park,72,0.9,False
109,Phase III Supply,1001,12.5,True
129,McPherson Recreational Center,1015,12.7,True
85,Lincoln Estate Neighborhood,1364,17.1,True
343,Dollar General,802,10.0,True
67,Eastbound SE 22nd Avenue @ SE 13th Street,737,9.2,True
116,Waldo Rd @ SE 7th Avenue,1050,13.1,True
723,Highland Court,1104,13.8,True
1285,Southbound Fort Clarke Boulevard @ Eagle Point,2879,36.0,True
249,NW 16th Ave NW 13th St,949,11.9,True
186,Life South Blood Center,1055,13.2,True
728,Stephen Foster Elementary School,1559,19.5,True
851,Eastbound SE 4th Avenue @ SE 8th Street,624,7.8,True
16,Shands Hospital @ Center Drive,231,2.9,False
1008,Greystone Community,2438,30.5,True
332,Southbound SE 35th Street @ SE 16th Avenue,1617,20.2,True
1542,The Polos Southwest Entrance,2270,28.4,True
953,Gainesville Place Apartments,1340,16.8,True
515,Hickory Woods Neighborhood,2020,25.3,True
1614,Celebration Pointe SW 45th St & SW 31st Pl,605,7.6,True
543,Forest Ridge Neighborhood,873,10.9,True
715,Smokey Bear Park,85,1.1,False
260,Auto Zone @ NW 13th Street,910,11.4,True
790,Parklands Care Center,920,11.5,True
434,Direct Auto Insurance,1215,15.2,True
311,Southbound SE 27th Street @ SE 15th Avenue,1446,18.1,True
1478,Tractor Supply Co @ NW 53rd Avenue,463,5.8,True
229,Northbound NW 6th Street @ NW 36th Avenue,1741,21.8,True
762,Brakes 4 Less,296,3.7,False
553,Downtown Library,65,0.8,False
1400,Westbound SW 24th AVE @ SW 84th ST,1678,21.0,True
1027,Best Buy @ Butler Plaza,467,5.8,True
820,Spyglass Apartments,1441,18.0,True
592,Lake Forest Trails Neighborhood,1515,18.9,True
1286,Legacy @ Fort Clarke Apartments,2614,32.7,True
532,NW 23rd Ave @ NW 43rd St,2222,27.8,True
1388,Sable Chase Neighborhood,1810,22.6,True
1500,NE 15th St @ NE 7th Ave,294,3.7,False
3,Westbound SW 2nd Avenue @ SW 2nd Street,336,4.2,False
788,Aldi @ SW 16th Avenue,912,11.4,True
678,Residence Inn,952,11.9,True
189,Center for Independent Living,859,10.7,True
1050,Bellamy Grand,1095,13.7,True
602,Pine Meadows Apartments,265,3.3,False
1035,Kanapaha Botanical Gardens,1990,24.9,True
810,Campus USA,760,9.5,True
1053,Galen College of Nursing,1406,17.6,True
479,Campus Edge Condominiums,948,11.9,True
403,Kangaroo Gas @ NW 34th Street,247,3.1,False
1236,Cabana Beach Apartments (SW 52nd St),583,7.3,True
385,Sonic Drive In,1470,18.4,True
816,Canopy Apartments,94,1.2,False
1012,Autumn Woods Neighborhood,1657,20.7,True
1047,Vet Mem PK,344,4.3,False
522,The Pentecostals of Gainesville,2591,32.4,True
818,Redpoint Apartments,804,10.1,True
364,Publix @ NW 13th St and W Univ Ave,449,5.6,True
301,Eastbound University Avenue @ SE 15th Street,755,9.4,True
795,The Retreat Apartments,934,11.7,True
1102,Advance Auto Parts,1113,13.9,True
225,Northbound NW 6th Street @ NW 26th Avenue,1476,18.5,True
701,CVS Pharmacy @ N Main Street,608,7.6,True
1221,Eastbound NW 23rd Avenue @ NW 13th Street,923,11.5,True
368,LifeSouth Community Blood Center @ NW 13th Street,1273,15.9,True
322,E Hawthorne Road @ SE 39th Terrace,1862,23.3,True
1274,Krystal @ Newberry Road,1374,17.2,True
418,Southbound NW 34th Street @ NW 41st Avenue,1734,21.7,True
56,Eastbound SW 2nd Ave @ SW 2nd St,320,4.0,False
380,Kiwanis Park,1472,18.4,True
819,Rockwood Villas Apartments,1175,14.7,True
915,Triangle Club,952,11.9,True
437,All Star Automotive,798,10.0,True
669,Liv+ Apartments 13th St,1092,13.7,True
1223,Forest Meadows Funeral Home,1323,16.5,True
538,Covenant Church,539,6.7,True
1033,Westbound Archer Road @ SW 50th Street,1660,20.8,True
481,University Commons,1121,14.0,True
823,Hampton Oaks Apartments,495,6.2,True
1326,UF Counseling and Wellness Center,426,5.3,True
978,Lenox Place Apartments,1647,20.6,True
1280,Hidden Oak Elementary School,3148,39.4,True
1380,Westbound NW 39th AVE @ NW 7th ST,1367,17.1,True
1165,Hills Mini Storage,1199,15.0,True
122,Lincoln Estates,1322,16.5,True
829,Forest View Apartments,850,10.6,True
1185,Microbiology/Cell Science Building,486,6.1,True
379,Northbound NW 21st Avenue @ NW 33rd Avenue,1227,15.3,True
935,Westbound SW 2nd Avenue @ SW 30th Street,1138,14.2,True
447,Hunters Run,2369,29.6,True
1493,Butler Plaza Transfer Station,30,0.4,False
143,Santa Fe College Charles L. Blount Center,662,8.3,True
1239,Caroline Manor Affordable Housing,456,5.7,True
529,First Church of the Nazarene,2381,29.8,True
1022,Southbound NW 43rd Street @ NW 15th Place,1765,22.1,True
754,NE 23rd Ave Farside NE 14th St Westbound,276,3.5,False
1170,Pine Ridge Apartments,289,3.6,False
516,Quail Ridge Neighborhood,2092,26.2,True
1176,Fifield Hall,627,7.8,True
490,The Polos Apartments,2496,31.2,True
1125,Hailey Forest Condominiums,1668,20.8,True
984,Millhopper Plaza,2018,25.2,True
459,SW 23rd Terrace @ SW 35th Place,2208,27.6,True
722,Eden Park at Ironwood,962,12.0,True
168,Capital City Bank @ Newberry Road,1190,14.9,True
1019,Millhopper Plaza,2026,25.3,True
341,Alachua County Sheriffs Department,914,11.4,True
571,Northbound NE 24th Street @ NE 8th Avenue,850,10.6,True
662,McKnight Brain Institute,297,3.7,False
1629,SW 43rd St @ Texas Roadhouse,878,11.0,True
175,Oaks Mall SW 62nd Blvd,286,3.6,False
84,Northbound SE 15th Street @ SE 13th Place,1256,15.7,True
326,Eastwood Meadows,1764,22.0,True
676,Chop Stix Cafe,745,9.3,True
204,Innovation Square North,785,9.8,True
1118,Arredondo Farms,1936,24.2,True
1146,Beta Theta Pi across Springs,901,11.3,True
478,IFAS Lab,983,12.3,True
760,Wash King (Southbound),162,2.0,False
1402,Westbound SW 87th Dr @ SW 91st St,1341,16.8,True
153,Westbound University Avenue @ NW 22nd Street,906,11.3,True
198,St. Augustine Catholic Church,74,0.9,False
245,Plaza Verde @ NW 13th St Southbound,799,10.0,True
1123,Broken Arrow Bluff Community,1984,24.8,True
1222,Hearing Aid Gainesville,1205,15.1,True
1105,Cricket Club Apartments,1442,18.0,True
115,Williams Elementary School,1195,14.9,True
465,Campus Edge Condominiums,958,12.0,True
312,Durelle Heights Neighborhood,1719,21.5,True
1428,FDOT Operations Center,1897,23.7,True
1617,SW 24th Avenue & School House Road (Eastbound),1240,15.5,True
292,The Cotton Club,649,8.1,True
484,Towne Parc Apartments,2020,25.2,True
511,First Church of the Nazarene,2402,30.0,True
25,Westbound Archer Road @ SW 34th Street,791,9.9,True
327,The Verdant Cove,1681,21.0,True
158,Westgate Plaza,874,10.9,True
1069,Sunrise Subdivision,1879,23.5,True
205,The Continuum,613,7.7,True
679,Meridian Behavioral Healthcare,1142,14.3,True
446,UF Health Archer Road,469,5.9,True
