stop_id,stop_name,stop_lat,stop_lon,daily_trips,routes,shelter_status,tract_geoid,pct_no_vehicle,pct_65_plus
512,Northwest Baptist Church,29.6742,-82.402283,29,"10,76",none,12001001701,17.254556143445033,28.263455248290214
1320,Airport,29.686084,-82.27632,26,26,sheltered,12001001902,16.82586333578251,25.576208178438662
763,Publix @ N Main Street,29.663764,-82.324586,23,15,none,12001000301,14.08811475409836,9.192399049881235
637,Aspen Ridge Apartments,29.618393,-82.372338,96,"12,37",unknown,12001001517,11.43627262225645,5.445716267776621
278,NW 6th Street & NW 16th Avenue,29.666947,-82.330972,23,"6,55",unknown,12001000301,14.08811475409836,9.192399049881235
297,Eastbound SE 7th Avenue @ SE 15th Street,29.645724,-82.306015,14,3,unknown,12001000700,12.619426751592359,21.483491632745363
520,Santa Fe,29.679628,-82.431876,154,"10,23,43,55,76",sheltered,12001001701,17.254556143445033,28.263455248290214
464,Mt Vernon Apartments @ SW 23rd Drive,29.635773,-82.358792,92,"9,12",none,12001001514,8.333333333333332,2.7532467532467533
1093,Park Place Car Wash,29.656295,-82.421376,27,75,none,12001002217,15.908324907313784,7.102560393461594
570,Eastbound NE 8th Avenue @ NE 22nd Street,29.659182,-82.296023,17,11,unknown,12001000600,20.242214532871973,17.217034843999087
1235,NE Walmart Supercenter,29.662839,-82.302207,44,"3,11,26",sheltered,12001000600,20.242214532871973,17.217034843999087
554,Salvation Army,29.651848,-82.318251,17,11,unknown,12001000500,10.72961373390558,13.34805299076676
677,The Landings Apartments,29.618568,-82.340371,62,13,none,12001110800,12.026726057906458,40.537989617744216
710,Pointe 23 Apartments,29.673785,-82.317586,23,15,unknown,12001000400,18.240068346860316,13.6077655941039
207,Alachua County Office of the State Attorney,29.651862,-82.326017,40,"5,10",none,12001000500,10.72961373390558,13.34805299076676
501,NW 30th Terrace @ NW 16th Avenue,29.666862,-82.367675,20,10,none,12001001100,7.312925170068027,27.624720774385704
495,Westbound NW 16th Avenue @ NW 20th Way,29.666841,-82.349253,20,10,unknown,12001001100,7.312925170068027,27.624720774385704
361,Norman Hall,29.647158,-82.339203,90,"8,13,43",none,12001000202,25.107526881720432,1.4258389845244306
365,Theory Apartments,29.6562569,-82.3390819,96,"8,10,13",unknown,12001000201,21.143847487001732,1.9492808478425434
1322,Rocky Point Apartments,29.621652,-82.370304,52,37,unknown,12001001515,9.413369713506139,5.387755102040816
448,Westbound SW 40th Place @ NW 26th Terrace,29.613651,-82.360105,50,9,unknown,12001001516,8.51472471190781,5.001866368047779
624,East End Eatery,29.659389,-82.309766,17,11,unknown,12001000500,10.72961373390558,13.34805299076676
1304,Seacoast Bank @ Archer Road,29.619763,-82.379447,52,37,unknown,12001001519,12.811791383219957,0.7092198581560284
505,B'Nai Israel School & Day Care,29.670967,-82.381747,20,10,none,12001001100,7.312925170068027,27.624720774385704
745,Highland Court Manor,29.688255,-82.310561,23,15,none,12001000400,18.240068346860316,13.6077655941039
370,Gainesville High School,29.668482,-82.339024,16,8,unknown,12001000301,14.08811475409836,9.192399049881235
857,Episcopal Children's Services Northbound,29.656539,-82.308253,13,26,unknown,12001000600,20.242214532871973,17.217034843999087
1110,Tower Road Library,29.626092,-82.422571,26,75,none,12001002221,0.8246527777777778,16.533758639021798
986,Bank of America @ NW 43rd Street,29.677745,-82.388858,14,43,none,12001001100,7.312925170068027,27.624720774385704
926,Leigh Hall,29.6506378,-82.3446731,38,118,none,12001000902,30.48780487804878,0.011463945890175398
699,Alachua County Property Appraiser,29.65634,-82.324921,23,15,unknown,12001000500,10.72961373390558,13.34805299076676
950,Lexington Crossing Apartments,29.615368,-82.362445,43,12,none,12001001517,11.43627262225645,5.445716267776621
720,Fearnside Family Services Center Northbound,29.686176,-82.305717,36,"15,26",unknown,12001000400,18.240068346860316,13.6077655941039
688,Tanglewood Apartments,29.623303,-82.339345,60,13,unknown,12001000808,7.1806945261918775,3.871439006574142
601,Fred Cone Park,29.651992,-82.287071,17,11,unknown,12001000600,20.242214532871973,17.217034843999087
989,Pinewood Apartments,29.688786,-82.390347,23,"43,55",unknown,12001001811,12.61518906895456,20.87149187592319
1179,Pressly Softball Stadium,29.637694,-82.365243,140,"21,33,52,118",none,12001000901,49.789029535864984,0.0
